# Step Z_disp_Ni
0 0
100 0.00625152223993197
200 0.00143837121533785
300 0.00662005123924381
400 0.00123589718893946
500 0.00660754992007639
600 0.00181578130240645
700 0.00702954396700051
800 0.00096434885921326
900 0.00502512807590527
1000 0.000332447092482369
1100 0.00590512066695581
1200 0.00191766979371799
1300 0.0052976833519125
1400 0.000508479638710924
1500 0.0034175675433854
1600 0.00066425700227235
1700 0.00219716450575902
1800 0.00012642210104552
1900 0.00114987448122683
2000 0.0016197307484358
2100 0.0021777736912032
2200 0.00635562917011789
2300 0.00502653813876996
2400 0.00574084305593914
2500 0.000876454539707083
2600 0.00473913336316656
2700 -0.088910290633649
2800 -0.591113062055532
2900 0.494038211983932
3000 -0.415948747105286
3100 0.359276535303836
3200 -0.307102040031047
3300 0.270784962653121
3400 -0.228559674885636
3500 0.201563154068461
3600 -0.168129421766849
3700 0.147484327600921
3800 -0.120570941576588
3900 0.105875165962905
4000 -0.0802617052850572
4100 0.0662534227167768
4200 -0.0462213017127659
4300 0.0380229184180294
4400 -0.0216323852499709
4500 0.0199948600608408
4600 -0.0085941487213006
4700 0.00637888619410276
4800 0.00229559115521738
4900 0.000418937619039994
5000 0.00918506584673295
